RollNumber,DSNumber,MainFieldCoverage,SubfieldCoverage,ExtraScan,MainFieldCount,SubfieldCount
22PW01,Milestone1,100,100,0,169,67600
22PW01,Sample,100,100,0,2,800
RollNumber,DSNumber,MainFieldCoverage,SubfieldCoverage,ExtraScan,MainFieldCount,SubfieldCount
22PW01,Milestone1,100,100,0,169,67600
22PW01,Milestone2,100,100,125,242,242
RollNumber,DSNumber,MainFieldCoverage,SubfieldCoverage,ExtraScan,MainFieldCount,SubfieldCount
22PW01,Milestone1,100,100,0,169,67600
22PW01,Milestone2,100,100,125,242,242
22PW01,Milestone2_new,100,100,125,11,242
RollNumber,DSNumber,MainFieldCoverage,SubfieldCoverage,ExtraScan,MainFieldCount,SubfieldCount
22PW01,Milestone1,100,100,0,169,67600
22PW01,Milestone2,100,100,125,242,242
22PW01,Milestone2_new,100,100,125,32,242
RollNumber,DSNumber,MainFieldCoverage,SubfieldCoverage,ExtraScan,MainFieldCount,SubfieldCount
22PW01,Milestone1,100,100,0,169,67600
22PW01,Milestone2,100,100,125,242,242
22PW01,Milestone2_new,100,100,125,32,242
22PW01,Milestone5,100,100,0,729,72900
